索引番号,食品名,エネルギー,たんぱく質,脂質,炭水化物,食塩相当量
669,（とうもろこし類）スイートコーン缶詰クリームスタイル,82,1.7,0.5,18.6,0.7
670,（とうもろこし類）スイートコーン缶詰ホールカーネルスタイル,78,2.3,0.5,17.8,0.5
671,（とうもろこし類）ヤングコーン幼雌穂生,29,2.3,0.2,6,0
672,（トマト類）赤色トマト果実生,20,0.7,0.1,4.7,0
673,（トマト類）赤色ミニトマト果実生,30,1.1,0.1,7.2,0
674,（トマト類）黄色トマト果実生,18,1.1,0.4,3.2,0
675,（トマト類）ドライトマト,291,14.2,2.1,67.3,0.3
676,（トマト類）加工品ホール食塩無添加,21,0.9,0.2,4.4,0
677,（トマト類）加工品トマトジュース食塩添加,15,0.7,0.1,4,0.3
678,（トマト類）加工品トマトジュース食塩無添加,18,0.7,0.1,4,0
679,（トマト類）加工品ミックスジュース食塩添加,18,0.6,0,4.3,0.2
680,（トマト類）加工品ミックスジュース食塩無添加,18,0.6,0,4.3,0
681,トレビス葉生,17,1.1,0.2,3.9,0
682,とんぶりゆで,89,6.1,3.5,12.9,0
683,ながさきはくさい葉生,12,1.3,0.1,2.6,0.1
684,ながさきはくさい葉ゆで,18,2.2,0.1,3.4,0
685,（なす類）なす果実生,18,1.1,0.1,5.1,0
686,（なす類）なす果実ゆで,17,1,0.1,4.5,0
687,（なす類）なす果実油いため,73,1.5,5.8,6.3,0
688,（なす類）なす果実天ぷら,165,1.6,14,12,0.1
689,（なす類）べいなす果実生,20,1.1,0.1,5.3,0
690,（なす類）べいなす果実素揚げ,177,1,17,6.7,0
691,（なす類）漬物塩漬,22,1.4,0.1,5.2,2.2
692,（なす類）漬物ぬかみそ漬,27,1.7,0.1,6.1,2.5
693,（なす類）漬物こうじ漬,87,5.5,0.1,18.2,6.6
694,（なす類）漬物からし漬,127,2.6,0.2,30.7,4.8
695,（なす類）漬物しば漬,27,1.4,0.2,7,4.1
696,なずな葉生,35,4.3,0.1,7,0
697,（なばな類）和種なばな花らい・茎生,34,4.4,0.2,5.8,0
698,（なばな類）和種なばな花らい・茎ゆで,28,4.7,0.1,4.3,0
699,（なばな類）洋種なばな茎葉生,36,4.1,0.4,6,0
700,（なばな類）洋種なばな茎葉ゆで,30,3.6,0.4,5.3,0
701,にがうり果実生,15,1,0.1,3.9,0
702,にがうり果実油いため,47,1.2,3.3,4.6,0
703,（にら類）にら葉生,18,1.7,0.3,4,0
704,（にら類）にら葉ゆで,27,2.6,0.5,5.7,0
705,（にら類）にら葉油いため,69,1.9,5.7,4.9,0
706,（にら類）花にら花茎・花らい生,27,1.9,0.2,5.9,0
707,（にら類）黄にら葉生,18,2.1,0.1,3.3,0
708,（にんじん類）葉にんじん葉生,16,1.1,0.2,3.7,0.1
709,（にんじん類）にんじん根皮つき生,35,0.7,0.2,9.3,0.1
710,（にんじん類）にんじん根皮つきゆで,29,0.6,0.2,8.4,0.1
711,（にんじん類）にんじん根皮なし生,30,0.8,0.1,8.7,0.1
712,（にんじん類）にんじん根皮なしゆで,28,0.7,0.1,8.5,0.1
713,（にんじん類）にんじん根皮なし油いため,103,1.1,6.4,12.4,0.1
714,（にんじん類）にんじん根皮なし素揚げ,87,1,3.5,13.9,0.1
715,（にんじん類）にんじん根皮生,26,0.7,0.2,7.3,0
716,（にんじん類）にんじん根冷凍,30,0.8,0.2,8.2,0.1
717,（にんじん類）にんじん根冷凍ゆで,24,0.7,0.2,7,0.1
718,（にんじん類）にんじん根冷凍油いため,65,0.9,4,9.3,0.2
719,（にんじん類）にんじんグラッセ,53,0.7,1.4,12.7,1
720,（にんじん類）にんじんジュース缶詰,29,0.6,0.1,6.7,0
721,（にんじん類）きんとき根皮つき生,39,1.8,0.2,9.6,0
722,（にんじん類）きんとき根皮つきゆで,37,1.9,0.2,9.2,0
723,（にんじん類）きんとき根皮なし生,40,1.8,0.3,9.7,0
724,（にんじん類）きんとき根皮なしゆで,40,1.9,0.4,9.6,0
725,（にんじん類）ミニキャロット根生,26,0.7,0.2,7.5,0
726,（にんにく類）にんにくりん茎生,129,6.4,0.9,27.5,0
727,（にんにく類）にんにくりん茎油いため,191,8.2,5.9,30.6,0
728,（にんにく類）茎にんにく花茎生,44,1.9,0.3,10.6,0
729,（にんにく類）茎にんにく花茎ゆで,43,1.7,0.2,10.7,0
730,（ねぎ類）根深ねぎ葉軟白生,35,1.4,0.1,8.3,0
731,（ねぎ類）根深ねぎ葉軟白ゆで,28,1.3,0.1,6.8,0
732,（ねぎ類）根深ねぎ葉軟白油いため,77,1.6,4.4,9.5,0
733,（ねぎ類）葉ねぎ葉生,29,1.9,0.3,6.5,0
734,（ねぎ類）葉ねぎ葉油いため,77,2.1,5.2,7.9,0
735,（ねぎ類）こねぎ葉生,26,2,0.3,5.4,0
736,のざわな葉生,14,0.9,0.1,3.5,0.1
737,のざわな漬物塩漬,17,1.2,0.1,4.1,1.5
738,のざわな漬物調味漬,22,1.7,0,5.4,2.4
739,のびるりん茎葉生,63,3.2,0.2,15.5,0
740,はくさい結球葉生,13,0.8,0.1,3.2,0
741,はくさい結球葉ゆで,13,0.9,0.1,2.9,0
742,はくさい漬物塩漬,17,1.5,0.1,3.3,2.1
743,はくさい漬物キムチ,27,2.3,0.1,5.4,2.9
744,パクチョイ葉生,15,1.6,0.2,2.7,0
745,バジル葉生,21,2,0.6,4,0
746,パセリ葉生,34,4,0.7,7.8,0
747,はつかだいこん根生,13,0.8,0.1,3.1,0
748,はなっこりー生,35,3.6,0.5,5.4,0
749,はやとうり果実白色種生,20,0.6,0.1,4.9,0
750,はやとうり果実白色種塩漬,17,0.6,0,4.4,3.6
751,はやとうり果実緑色種生,21,0.6,0.1,4.9,0
752,ビーツ根生,38,1.6,0.1,9.3,0.1
753,ビーツ根ゆで,42,1.5,0.1,10.2,0.1
754,（ピーマン類）青ピーマン果実生,20,0.9,0.2,5.1,0
755,（ピーマン類）青ピーマン果実油いため,54,0.9,4.3,5.4,0
756,（ピーマン類）赤ピーマン果実生,28,1,0.2,7.2,0
757,（ピーマン類）赤ピーマン果実油いため,69,1,4.3,7.6,0
758,（ピーマン類）オレンジピーマン果実生,19,0.9,0.3,4.2,0
759,（ピーマン類）オレンジピーマン果実油いため,81,1.1,5.1,7.6,0
760,（ピーマン類）黄ピーマン果実生,28,0.8,0.2,6.6,0
761,（ピーマン類）黄ピーマン果実油いため,61,0.8,4.3,6.9,0
762,（ピーマン類）トマピー果実生,33,1,0.2,7.5,0
763,ひのな根・茎葉生,17,1,0,4.7,0
764,ひのな根・茎葉甘酢漬,70,1.4,0.5,17.3,2.8
765,ひろしまな葉生,19,1.5,0.2,4.2,0.1
766,ひろしまな塩漬,15,1.2,0.2,3.3,2.1
767,（ふき類）ふき葉柄生,11,0.3,0,3,0.1
768,（ふき類）ふき葉柄ゆで,7,0.3,0,1.9,0.1
769,（ふき類）ふきのとう花序生,38,2.5,0.1,10,0
770,（ふき類）ふきのとう花序ゆで,31,2.5,0.1,7,0
771,ふじまめ若ざや生,32,2.5,0.1,7.4,0
772,ふだんそう葉生,17,2,0.1,3.7,0.2
773,ふだんそう葉ゆで,26,2.8,0.1,5.4,0.2
774,ブロッコリー花序生,37,5.4,0.6,6.6,0
775,ブロッコリー花序ゆで,30,3.9,0.4,5.2,0
776,ブロッコリー花序電子レンジ調理,57,5.7,0.7,7,0
777,ブロッコリー花序焼き,84,9.9,1.2,8.4,0
778,ブロッコリー花序油いため,109,6.9,6.3,6.1,0
779,ブロッコリー芽ばえ生,18,1.9,0.6,2.6,0
780,へちま果実生,17,0.8,0.1,3.8,0
781,へちま果実ゆで,19,1.6,0.1,3.7,0
782,ほうれんそう葉通年平均生,18,2.2,0.4,3.1,0
783,ほうれんそう葉通年平均ゆで,23,2.6,0.5,4,0
784,ほうれんそう葉通年平均油いため,91,3.8,8.1,4.4,0
785,ほうれんそう葉夏採り生,18,2.2,0.4,3.1,0
786,ほうれんそう葉夏採りゆで,23,2.6,0.5,4,0
787,ほうれんそう葉冬採り生,18,2.2,0.4,3.1,0
788,ほうれんそう葉冬採りゆで,23,2.6,0.5,4,0
789,ほうれんそう葉冷凍,22,2.9,0.3,3.4,0.3
790,ほうれんそう葉冷凍ゆで,27,3.7,0.5,3.8,0.1
791,ほうれんそう葉冷凍油いため,67,4,4.5,5.4,0.4
792,ホースラディシュ根茎生,69,3.1,0.3,17.7,0
793,まこも茎生,19,1.3,0.2,4.4,0
794,みずかけな葉生,25,2.9,0.1,4.7,0
795,みずかけな塩漬,34,4.9,0,5.7,2.5
796,みずな葉生,23,2.2,0.1,4.8,0.1
797,みずな葉ゆで,21,2,0.1,4.7,0.1
798,みずな塩漬,26,2,0.1,5.9,2.3
799,（みつば類）切りみつば葉生,16,1,0.1,4,0
800,（みつば類）切りみつば葉ゆで,12,0.9,0.1,3.3,0
801,（みつば類）根みつば葉生,19,1.9,0.1,4.1,0
802,（みつば類）根みつば葉ゆで,19,2.3,0.1,3.9,0
803,（みつば類）糸みつば葉生,12,0.9,0.1,2.9,0
804,（みつば類）糸みつば葉ゆで,14,1.1,0,4,0
805,みぶな葉生,14,1.1,0.3,2.9,0.1
806,（みょうが類）みょうが花穂生,11,0.9,0.1,2.6,0
807,（みょうが類）みょうがたけ茎葉生,6,0.4,0.1,1.5,0
808,むかご肉芽生,87,2.9,0.2,20.6,0
809,めキャベツ結球葉生,52,5.7,0.1,9.9,0
810,めキャベツ結球葉ゆで,51,5.3,0.1,9.8,0
811,めたで芽ばえ生,39,3,0.5,8.8,0
812,（もやし類）アルファルファもやし生,11,1.6,0.1,2,0
813,（もやし類）だいずもやし生,29,3.7,1.5,2.3,0
814,（もやし類）だいずもやしゆで,27,2.9,1.6,2.2,0
815,（もやし類）ブラックマッペもやし生,17,2.2,0,2.8,0
816,（もやし類）ブラックマッペもやしゆで,13,1.3,0,2.7,0
817,（もやし類）ブラックマッペもやし油いため,41,2.3,0.9,5.8,0
818,（もやし類）りょくとうもやし生,15,1.7,0.1,2.6,0
819,（もやし類）りょくとうもやしゆで,12,1.6,0,2.3,0
820,モロヘイヤ茎葉生,36,4.8,0.5,6.3,0
821,モロヘイヤ茎葉ゆで,24,3,0.4,4,0
822,やぶまめ生,219,15.5,6.5,29.5,0
823,やまごぼうみそ漬,66,4.1,0.1,15.6,7.1
824,ゆりねりん茎生,119,3.8,0.1,28.3,0
825,ゆりねりん茎ゆで,117,3.4,0.1,28.7,0
826,ようさい茎葉生,17,2.2,0.1,3.1,0.1
827,ようさい茎葉ゆで,18,2.2,0.1,4.1,0
828,よめな葉生,40,3.4,0.2,10,0
829,よもぎ葉生,43,5.2,0.3,8.7,0
830,よもぎ葉ゆで,37,4.8,0.1,8.2,0
831,らっかせい未熟豆生,306,12,24.2,12.4,0
832,らっかせい未熟豆ゆで,298,11.9,23.5,12.3,0
833,（らっきょう類）らっきょうりん茎生,83,1.4,0.2,29.3,0
834,（らっきょう類）らっきょう甘酢漬,118,0.4,0.3,29.4,1.9
835,（らっきょう類）エシャレットりん茎生,59,2.3,0.2,17.8,0
836,リーキりん茎葉生,30,1.6,0.1,6.9,0
837,リーキりん茎葉ゆで,28,1.3,0.1,6.8,0
838,ルッコラ葉生,17,1.9,0.4,3.1,0
839,ルバーブ葉柄生,23,0.7,0.1,6,0
840,ルバーブ葉柄ゆで,14,0.5,0.1,4.6,0
841,（レタス類）レタス土耕栽培結球葉生,11,0.6,0.1,2.8,0
842,（レタス類）レタス水耕栽培結球葉生,13,0.8,0.2,2.9,0
843,（レタス類）サラダな葉生,10,1,0.2,2.7,0
844,（レタス類）リーフレタス葉生,16,1.4,0.1,3.3,0
845,（レタス類）サニーレタス葉生,15,1.2,0.2,3.2,0
846,（レタス類）サンチュ葉生,14,1.2,0.4,2.5,0
847,（レタス類）コスレタス葉生,16,1.2,0.2,3.4,0
848,れんこん根茎生,66,1.9,0.1,15.5,0.1
849,れんこん根茎ゆで,66,1.3,0.1,16.1,0
850,れんこん甘酢れんこん,68,0.6,0.2,16.5,1.4
851,わけぎ葉生,30,1.6,0,7.4,0
852,わけぎ葉ゆで,29,1.9,0,6.9,0
853,わさび根茎生,89,5.6,0.2,18.4,0.1
854,わさびわさび漬,140,7.1,0.5,28,2.5
855,わらび生わらび生,19,2.4,0.1,4,0
856,わらび生わらびゆで,13,1.5,0.1,3,0
857,わらび干しわらび乾,216,20,0.7,61.4,0
858,（その他）ミックスベジタブル冷凍,67,3,0.7,15.1,0.1
859,（その他）ミックスベジタブル冷凍ゆで,65,3.1,0.8,14.6,0
860,（その他）ミックスベジタブル冷凍油いため,108,3.3,4.9,15.7,0.1
861,（その他）野菜ミックスジュース通常タイプ,21,0.8,0.1,4.7,0
862,（その他）野菜ミックスジュース濃縮タイプ,36,1,0.3,7.8,0.1
863,あけび果肉生,89,0.5,0.1,22,0
864,あけび果皮生,32,0.3,0.3,8.6,0
865,アサイー冷凍無糖,62,0.9,5.3,5,0
866,アセロラ酸味種生,36,0.7,0.1,9,0
867,アセロラ甘味種生,36,0.7,0.1,9,0
868,アセロラ果実飲料10%果汁入り飲料,42,0.1,0,10.5,0
869,アテモヤ生,81,1.8,0.4,19.4,0
870,アボカド生,178,2.1,17.5,7.9,0
871,あんず生,37,1,0.3,8.5,0
872,あんず乾,296,9.2,0.4,70.4,0
873,あんず缶詰,79,0.5,0.4,18.9,0
874,あんずジャム高糖度,252,0.3,0.1,64.9,0
875,あんずジャム低糖度,202,0.4,0.1,50.5,0
876,いちご生,31,0.9,0.1,8.5,0
877,いちごジャム高糖度,250,0.4,0.1,63.3,0
878,いちごジャム低糖度,194,0.5,0.1,48.4,0
879,いちご乾,329,0.5,0.2,82.8,0.7
880,いちじく生,57,0.6,0.1,14.3,0
881,いちじく乾,272,3,1.1,75.3,0.2
882,いちじく缶詰,78,0.5,0.1,19.4,0
883,うめ生,33,0.7,0.5,7.9,0
884,うめ梅漬塩漬,27,0.7,0.4,6.7,19.3
885,うめ梅漬調味漬,45,1.5,0.5,10.5,6.9
886,うめ梅干し塩漬,29,0.9,0.7,8.6,18.2
887,うめ梅干し調味漬,90,1.5,0.6,21.1,7.6
888,うめ梅びしお,196,0.7,0.5,48.1,7.9
889,うめ果実飲料20%果汁入り飲料,49,0,0,12.3,0.1
890,オリーブ塩漬グリーンオリーブ,148,1,15,4.5,3.6
891,オリーブ塩漬ブラックオリーブ,121,0.8,12.3,3.4,1.6
892,オリーブ塩漬スタッフドオリーブ,141,0.8,14.3,4.2,5.1
893,かき甘がき生,63,0.4,0.2,15.9,0
894,かき渋抜きがき生,59,0.5,0.1,16.9,0
895,かき干しがき,274,1.5,1.7,71.3,0
896,かりん生,58,0.4,0.1,18.3,0
897,（かんきつ類）いよかん砂じょう生,50,0.9,0.1,11.8,0
898,（かんきつ類）うんしゅうみかんじょうのう早生生,49,0.5,0.1,11.9,0
899,（かんきつ類）うんしゅうみかんじょうのう普通生,49,0.7,0.1,12,0
900,（かんきつ類）うんしゅうみかん砂じょう早生生,47,0.5,0.1,11.3,0
901,（かんきつ類）うんしゅうみかん砂じょう普通生,49,0.7,0.1,11.5,0
902,（かんきつ類）うんしゅうみかん果実飲料ストレートジュース,45,0.5,0.1,10.6,0
903,（かんきつ類）うんしゅうみかん果実飲料濃縮還元ジュース,42,0.5,0.1,9.9,0
904,（かんきつ類）うんしゅうみかん果実飲料果粒入りジュース,53,0.2,0,13,0
905,（かんきつ類）うんしゅうみかん果実飲料50%果汁入り飲料,59,0.2,0,14.7,0
906,（かんきつ類）うんしゅうみかん果実飲料20%果汁入り飲料,50,0.1,0,12.4,0
907,（かんきつ類）うんしゅうみかん缶詰果肉,63,0.5,0.1,15.3,0
908,（かんきつ類）うんしゅうみかん缶詰液汁,63,0.3,0.1,15.3,0
909,（かんきつ類）オレンジネーブル砂じょう生,48,0.9,0.1,11.8,0
910,（かんきつ類）オレンジバレンシア米国産砂じょう生,42,1,0.1,9.8,0
911,（かんきつ類）オレンジバレンシア果実飲料ストレートジュース,45,0.8,0,11,0
912,（かんきつ類）オレンジバレンシア果実飲料濃縮還元ジュース,46,0.7,0.1,10.7,0
913,（かんきつ類）オレンジバレンシア果実飲料50%果汁入り飲料,46,0.4,0.2,10.8,0
914,（かんきつ類）オレンジバレンシア果実飲料30%果汁入り飲料,41,0.2,0,10,0
915,（かんきつ類）オレンジバレンシアマーマレード高糖度,233,0.2,0.1,63.2,0
916,（かんきつ類）オレンジバレンシアマーマレード低糖度,190,0.3,0.1,47.7,0
917,（かんきつ類）オレンジ福原オレンジ砂じょう生,43,1,0.1,9.8,0
918,（かんきつ類）オロブランコ砂じょう生,43,0.8,0.1,10.1,0
919,（かんきつ類）かぼす果汁生,36,0.4,0.1,8.5,0
920,（かんきつ類）かわちばんかん砂じょう生,38,0.7,0.2,8.8,0
921,（かんきつ類）きよみ砂じょう生,45,0.8,0.2,10.3,0
922,（かんきつ類）きんかん全果生,67,0.5,0.7,17.5,0
923,（かんきつ類）グレープフルーツ白肉種砂じょう生,40,0.9,0.1,9.6,0
924,（かんきつ類）グレープフルーツ紅肉種砂じょう生,40,0.9,0.1,9.6,0
925,（かんきつ類）グレープフルーツ果実飲料ストレートジュース,44,0.6,0.1,10.3,0
926,（かんきつ類）グレープフルーツ果実飲料濃縮還元ジュース,38,0.7,0.1,8.8,0
927,（かんきつ類）グレープフルーツ果実飲料50%果汁入り飲料,45,0.3,0,11.1,0
928,（かんきつ類）グレープフルーツ果実飲料20%果汁入り飲料,39,0.1,0,9.7,0
929,（かんきつ類）グレープフルーツ缶詰,60,0.5,0,17.1,0
930,（かんきつ類）さんぼうかん砂じょう生,47,0.7,0.3,10.9,0
931,（かんきつ類）シークヮーサー果汁生,35,0.8,0.1,7.9,0
932,（かんきつ類）シークヮーサー果実飲料10%果汁入り飲料,48,0.1,0,11.8,0
933,（かんきつ類）しらぬひ砂じょう生,56,0.8,0.2,12.9,0
934,（かんきつ類）すだち果皮生,55,1.8,0.3,16.4,0
935,（かんきつ類）すだち果汁生,29,0.5,0.1,6.6,0
936,（かんきつ類）せとか砂じょう生,50,0.8,0.2,11.7,0
937,（かんきつ類）セミノール砂じょう生,53,1.1,0.1,12.4,0
938,（かんきつ類）だいだい果汁生,35,0.3,0.2,8,0
939,（かんきつ類）なつみかん砂じょう生,42,0.9,0.1,10,0
940,（かんきつ類）なつみかん缶詰,80,0.5,0.1,19.4,0
941,（かんきつ類）はっさく砂じょう生,47,0.8,0.1,11.5,0
942,（かんきつ類）はるみ砂じょう生,52,0.9,0.2,12.1,0
943,（かんきつ類）ひゅうがなつじょうのう及びアルベド生,46,0.6,0.1,11.7,0
944,（かんきつ類）ひゅうがなつ砂じょう生,35,0.6,0.1,8.3,0
945,（かんきつ類）ぶんたん砂じょう生,41,0.7,0.1,9.8,0
946,（かんきつ類）ぶんたんざぼん漬,338,0.2,0.1,85.5,0
947,（かんきつ類）ぽんかん砂じょう生,42,0.9,0.1,9.9,0
948,（かんきつ類）ゆず果皮生,50,1.2,0.5,14.2,0
949,（かんきつ類）ゆず果汁生,30,0.5,0.1,7,0
950,（かんきつ類）ライム果汁生,39,0.4,0.1,9.3,0
951,（かんきつ類）レモン全果生,43,0.9,0.7,12.5,0
952,（かんきつ類）レモン果汁生,24,0.4,0.2,8.6,0
953,キウイフルーツ緑肉種生,51,1,0.2,13.4,0
954,キウイフルーツ黄肉種生,63,1.1,0.2,14.9,0
955,きはだ実乾,378,7.3,9.8,65.1,0
956,キワノ生,41,1.5,0.9,8,0
957,グァバ赤肉種生,33,0.6,0.1,9.9,0
958,グァバ白肉種生,33,0.6,0.1,9.9,0
959,グァバ果実飲料20%果汁入り飲料（ネクター）,49,0.1,0.1,12.3,0
960,グァバ果実飲料10%果汁入り飲料,50,0.1,0.1,12.3,0
961,くこ実乾,387,12.3,4.1,75.3,1.3
962,ぐみ生,72,1.3,0.2,17.2,0
963,ココナッツココナッツウォーター,22,0.2,0.1,5,0
964,ココナッツココナッツミルク,157,1.9,16,2.8,0
965,ココナッツナタデココ,80,0,0,20.2,0
966,さくらんぼ国産生,64,1,0.2,15.2,0
967,さくらんぼ米国産生,64,1.2,0.1,17.1,0
968,さくらんぼ米国産缶詰,70,0.6,0.1,17.6,0
969,ざくろ生,63,0.2,0,15.5,0
970,すいか赤肉種生,41,0.6,0.1,9.5,0
971,すいか黄肉種生,41,0.6,0.1,9.5,0
972,（すぐり類）カシス冷凍,62,1.6,1.6,13.4,0
973,（すぐり類）グーズベリー生,51,1,0.1,13.2,0
974,スターフルーツ生,30,0.7,0.1,7.5,0
975,（すもも類）にほんすもも生,46,0.6,1,9.4,0
976,（すもも類）プルーン生,49,0.7,0.1,12.6,0
977,（すもも類）プルーン乾,211,2.4,0.2,62.3,0
978,チェリモヤ生,82,1.3,0.3,19.8,0
979,ドラゴンフルーツ生,52,1.4,0.3,11.8,0
980,ドリアン生,140,2.3,3.3,27.1,0
981,（なし類）日本なし生,38,0.3,0.1,11.3,0
982,（なし類）日本なし缶詰,76,0.1,0.1,19.1,0
983,（なし類）中国なし生,49,0.2,0.1,12.7,0
984,（なし類）西洋なし生,48,0.3,0.1,14.4,0
985,（なし類）西洋なし缶詰,79,0.2,0.1,20.7,0
986,なつめ乾,294,3.9,2,71.4,0
987,なつめやし乾,281,2.2,0.2,71.3,0
988,パインアップル生,54,0.6,0.1,13.7,0
989,パインアップル焼き,75,0.9,0.2,20.1,0
990,パインアップル果実飲料ストレートジュース,46,0.3,0.1,11,0
991,パインアップル果実飲料濃縮還元ジュース,45,0.1,0.1,11.1,0
992,パインアップル果実飲料50%果汁入り飲料,50,0.3,0.1,12.1,0
993,パインアップル果実飲料10%果汁入り飲料,50,0,0,12.4,0
994,パインアップル缶詰,76,0.4,0.1,20.3,0
995,パインアップル砂糖漬,349,0.5,0.2,86.8,0.1
996,ハスカップ生,55,0.7,0.6,12.8,0
997,パッションフルーツ果汁生,67,0.8,0.4,16.2,0
998,バナナ生,93,1.1,0.2,22.5,0
999,バナナ乾,314,3.8,0.4,78.5,0
1000,パパイア完熟生,33,0.5,0.2,9.5,0
1001,パパイア未熟生,35,1.3,0.1,9.4,0
1002,びわ生,41,0.3,0.1,10.6,0
1003,びわ缶詰,80,0.3,0.1,19.8,0
1004,ぶどう皮なし生,58,0.4,0.1,15.7,0
1005,ぶどう皮つき生,69,0.6,0.2,16.9,0
1006,ぶどう干しぶどう,324,2.7,0.2,80.3,0
1007,ぶどう果実飲料ストレートジュース,54,0.3,0.2,14.3,0
1008,ぶどう果実飲料濃縮還元ジュース,46,0.3,0.3,12,0
1009,ぶどう果実飲料70%果汁入り飲料,52,0.2,0,12.9,0
1010,ぶどう果実飲料10%果汁入り飲料,52,0,0,13.1,0
1011,ぶどう缶詰,83,0.4,0.1,20.4,0
1012,ぶどうジャム,189,0.5,0.1,47.5,0
1013,ブルーベリー生,48,0.5,0.1,12.9,0
1014,ブルーベリージャム,174,0.7,0.3,43.8,0
1015,ブルーベリー乾,280,2.7,1.9,72.5,0
1016,ホワイトサポテ生,73,1.5,0.1,18.9,0
1017,まくわうり黄肉種生,34,0.8,0.1,7.8,0
1018,まくわうり白肉種生,34,0.8,0.1,7.8,0
1019,マルメロ生,48,0.3,0.1,15.1,0
1020,マンゴー生,68,0.6,0.1,16.9,0
1021,マンゴードライマンゴー,339,3.1,0.7,84.9,0
1022,マンゴスチン生,71,0.6,0.2,17.5,0
1023,メロン温室メロン生,40,1.1,0.1,10.3,0
1024,メロン露地メロン緑肉種生,45,1,0.1,10.4,0
1025,メロン露地メロン赤肉種生,45,1,0.1,10.4,0
1026,（もも類）もも白肉種生,38,0.6,0.1,10.2,0
1027,（もも類）もも黄肉種生,48,0.5,0.2,13.4,0
1028,（もも類）もも果実飲料30%果汁入り飲料（ネクター）,46,0.2,0.1,11.6,0
1029,（もも類）もも缶詰白肉種果肉,82,0.5,0.1,20.6,0
1030,（もも類）もも缶詰黄肉種果肉,83,0.5,0.1,20.6,0
1031,（もも類）もも缶詰液汁,81,0.3,0.1,19.8,0
1032,（もも類）ネクタリン生,39,0.7,0.3,10.7,0
1033,やまもも生,47,0.5,0.2,11.3,0
1034,ライチー生,61,1,0.1,16.4,0
1035,ラズベリー生,36,1.1,0.1,10.2,0
1036,りゅうがん乾,310,5.1,0.4,72.9,0
1037,りんご皮なし生,53,0.1,0.2,15.5,0
1038,りんご皮つき生,56,0.2,0.3,16.2,0
1039,りんご皮つき焼き,86,0.2,0.4,21.9,0
1040,りんご果実飲料ストレートジュース,43,0.2,0.1,11.8,0
1041,りんご果実飲料濃縮還元ジュース,47,0.1,0.2,11.4,0
1042,りんご果実飲料50%果汁入り飲料,46,0.1,0,11.5,0
1043,りんご果実飲料30%果汁入り飲料,46,0,0,11.4,0
1044,りんご缶詰,81,0.3,0.1,20.1,0
1045,りんごジャム,203,0.2,0.1,52.7,0
1046,えのきたけ生,34,2.7,0.2,7.6,0
1047,えのきたけゆで,34,2.8,0.1,7.8,0
1048,えのきたけ油いため,71,3,3.9,8.8,0
1049,えのきたけ味付け瓶詰,76,3.6,0.3,16.9,4.3
1050,（きくらげ類）あらげきくらげ生,14,0.7,0.1,5.4,0
1051,（きくらげ類）あらげきくらげ乾,184,6.9,0.7,77,0.1
1052,（きくらげ類）あらげきくらげゆで,38,1.2,0.1,16.1,0
1053,（きくらげ類）あらげきくらげ油いため,110,2.3,5.2,27.8,0
1054,（きくらげ類）きくらげ乾,216,7.9,2.1,71.1,0.1
1055,（きくらげ類）きくらげゆで,14,0.6,0.2,5.2,0
1056,（きくらげ類）しろきくらげ乾,170,4.9,0.7,74.5,0.1
1057,（きくらげ類）しろきくらげゆで,15,0.4,0,6.7,0
1058,くろあわびたけ生,28,3.7,0.4,4.9,0
1059,しいたけ生しいたけ菌床栽培生,25,3.1,0.3,6.4,0
1060,しいたけ生しいたけ菌床栽培ゆで,22,2.5,0.4,5.1,0
1061,しいたけ生しいたけ菌床栽培油いため,65,3.3,4.1,7.3,0
1062,しいたけ生しいたけ菌床栽培天ぷら,201,3.4,14,17.8,0.1
1063,しいたけ生しいたけ原木栽培生,34,3.1,0.4,7.6,0
1064,しいたけ生しいたけ原木栽培ゆで,27,2.4,0.4,5.9,0
1065,しいたけ生しいたけ原木栽培油いため,84,3.8,5.4,8.8,0
1066,しいたけ乾しいたけ乾,258,21.2,2.8,62.5,0
1067,しいたけ乾しいたけゆで,40,3.1,0.3,9.9,0
1068,しいたけ乾しいたけ甘煮,116,3.3,0.4,28.9,2.6
1069,（しめじ類）はたけしめじ生,25,2.6,0.3,4.5,0
1070,（しめじ類）はたけしめじゆで,25,2.6,0.3,5.1,0
1071,（しめじ類）ぶなしめじ生,22,2.7,0.5,4.8,0
1072,（しめじ類）ぶなしめじゆで,22,2.7,0.2,5.2,0
1073,（しめじ類）ぶなしめじ油いため,66,3,5.5,4.8,0
1074,（しめじ類）ぶなしめじ素揚げ,168,3.9,14.3,10.1,0
1075,（しめじ類）ぶなしめじ天ぷら,248,3.4,17.1,23.2,0.1
1076,（しめじ類）ほんしめじ生,21,2.5,0.4,2.8,0
1077,（しめじ類）ほんしめじゆで,26,2.8,0.6,4.1,0
1078,たもぎたけ生,23,3.6,0.3,3.7,0
1079,なめこ株採り生,21,1.8,0.2,5.4,0
1080,なめこ株採りゆで,22,1.6,0.1,5.1,0
1081,なめこカットなめこ生,14,1.1,0.1,3.6,0
1082,なめこ水煮缶詰,13,1,0.1,3.2,0
1083,ぬめりすぎたけ生,23,2.3,0.4,4.1,0
1084,（ひらたけ類）うすひらたけ生,37,6.1,0.2,4.8,0
1085,（ひらたけ類）エリンギ生,31,2.8,0.4,6,0
1086,（ひらたけ類）エリンギゆで,32,3.2,0.5,6.5,0
