索引番号,食品名,エネルギー,たんぱく質,脂質,炭水化物,食塩相当量
77,こむぎ［即席めん類］即席中華めん非油揚げゆで（添付調味料等を含まないもの）,139,3.4,0.8,31,0.6
78,こむぎ［即席めん類］即席中華めん非油揚げ乾（添付調味料等を含まないもの）,337,8.5,1.9,75.2,3
79,こむぎ［即席めん類］中華スタイル即席カップめん油揚げ塩味乾（添付調味料等を含むもの）,422,10.9,18.5,58.6,5.8
80,こむぎ［即席めん類］中華スタイル即席カップめん油揚げ塩味調理後全体（添付調味料等を含むもの）,92,-2.5,-4.2,-13.2,-1.3
81,こむぎ［即席めん類］中華スタイル即席カップめん油揚げ塩味調理後のめん（スープを残したもの）,175,3.8,7.7,25.2,1.1
82,こむぎ［即席めん類］中華スタイル即席カップめん油揚げしょうゆ味乾（添付調味料等を含むもの）,417,10,19.1,54.6,6.3
83,こむぎ［即席めん類］中華スタイル即席カップめん油揚げしょうゆ味調理後全体（添付調味料等を含むもの）,90,-2.3,-4.5,-12.9,-1.5
84,こむぎ［即席めん類］中華スタイル即席カップめん油揚げしょうゆ味調理後のめん（スープを残したもの）,142,3,5.8,20.7,1.1
85,こむぎ［即席めん類］中華スタイル即席カップめん油揚げ焼きそば乾（添付調味料等を含むもの）,401,8.2,18.6,57.5,3.8
86,こむぎ［即席めん類］中華スタイル即席カップめん油揚げ焼きそば調理後全体（添付調味料等を含むもの）,222,-5,-11.3,-34.2,-2.3
87,こむぎ［即席めん類］中華スタイル即席カップめん非油揚げ乾（添付調味料等を含むもの）,314,9.2,5.8,62.6,7.1
88,こむぎ［即席めん類］中華スタイル即席カップめん非油揚げ調理後全体（添付調味料等を含むもの）,66,-2.5,-2.1,-10.2,-1.4
89,こむぎ［即席めん類］中華スタイル即席カップめん非油揚げ調理後のめん（スープを残したもの）,121,3.4,1.3,25.3,1
90,こむぎ［即席めん類］和風スタイル即席カップめん油揚げ乾（添付調味料等を含むもの）,439,10.9,19.8,56.1,6.7
91,こむぎ［即席めん類］和風スタイル即席カップめん油揚げ調理後全体（添付調味料等を含むもの）,91,-2.2,-4.7,-11.2,-1.4
92,こむぎ［即席めん類］和風スタイル即席カップめん油揚げ調理後のめん（スープを残したもの）,163,2.7,7.2,24.4,1.1
93,こむぎ［マカロニ・スパゲッティ類］マカロニ・スパゲッティ乾,347,12.9,1.8,73.1,0
94,こむぎ［マカロニ・スパゲッティ類］マカロニ・スパゲッティゆで,150,5.8,0.9,32.2,1.2
95,こむぎ［マカロニ・スパゲッティ類］マカロニ・スパゲッティソテー,186,-5.5,-5.8,-30.5,-1.1
96,こむぎ［マカロニ・スパゲッティ類］生パスタ生,232,7.8,1.9,46.9,1.2
97,こむぎ［ふ類］生ふ,161,12.7,0.8,26.2,0
98,こむぎ［ふ類］焼きふ釜焼きふ,357,28.5,2.7,56.9,0
99,こむぎ［ふ類］焼きふ板ふ,351,25.6,3.3,57.3,0.5
100,こむぎ［ふ類］焼きふ車ふ,361,30.2,3.4,54.2,0.3
101,こむぎ［ふ類］油ふ,547,22.7,35.3,34.4,0.1
102,こむぎ［その他］小麦はいが,391,32,11.6,48.3,0
103,こむぎ［その他］小麦たんぱく粉末状,398,72,9.7,10.6,0.2
104,こむぎ［その他］小麦たんぱく粒状,101,20,2,1.8,0.1
105,こむぎ［その他］小麦たんぱくペースト状,145,25,4.1,3.9,0.6
106,こむぎ［その他］かやきせんべい,359,10.6,1.9,75.1,2.5
107,こむぎ［その他］ぎょうざの皮生,275,9.3,1.4,57,0
108,こむぎ［その他］しゅうまいの皮生,275,8.3,1.4,58.9,0
109,こむぎ［その他］春巻きの皮生,288,8.3,1.6,62.2,1.1
110,こむぎ［その他］春巻きの皮揚げ,512,7.2,30.7,53.7,0.9
111,こむぎ［その他］ピザ生地,265,9.1,3,51.1,1.3
112,こむぎ［その他］ちくわぶ,160,7.1,1.2,31.1,0
113,こむぎ［その他］パン粉生,277,11,5.1,47.6,0.9
114,こむぎ［その他］パン粉半生,315,12.5,5.8,54.3,1
115,こむぎ［その他］パン粉乾燥,369,14.6,6.8,63.4,1.2
116,こむぎ［その他］冷めん生,249,3.9,0.7,57.6,1.3
117,こめ［水稲穀粒］玄米,346,6.8,2.7,74.3,0
118,こめ［水稲穀粒］半つき米,345,6.5,1.8,75.9,0
119,こめ［水稲穀粒］七分つき米,348,6.3,1.5,76.6,0
120,こめ［水稲穀粒］精白米うるち米,342,6.1,0.9,77.6,0
121,こめ［水稲穀粒］精白米もち米,343,6.4,1.2,77.2,0
122,こめ［水稲穀粒］精白米インディカ米,347,7.4,0.9,77.7,0
123,こめ［水稲穀粒］はいが精米,343,6.5,2,75.8,0
124,こめ［水稲穀粒］発芽玄米,339,6.5,3.3,74.3,0
125,こめ［水稲穀粒］赤米,344,8.5,3.3,71.9,0
126,こめ［水稲穀粒］黒米,341,7.8,3.2,72,0
127,こめ［水稲めし］玄米,152,2.8,1,35.6,0
128,こめ［水稲めし］半つき米,154,2.7,0.6,36.4,0
129,こめ［水稲めし］七分つき米,160,2.6,0.5,36.7,0
